generation,individual,val_loss,n_params,n_layers,architecture
16,7,0.567339,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
17,0,0.505231,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
17,1,0.508953,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
17,2,0.522352,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
17,3,0.536345,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
17,4,0.550567,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
17,5,0.546332,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
17,6,0.569257,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
17,7,0.568426,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
18,0,0.508447,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
18,1,0.504955,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
18,2,0.520651,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
18,3,0.532797,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
18,4,0.540928,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
18,5,0.547366,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
18,6,0.569466,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
18,7,0.562357,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
19,0,0.504132,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
19,1,0.506384,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
19,2,0.521107,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
